,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
153,United Airlines (Ronald Reagan Washington National Airport),Arlington,07/08/2020,10/01/2020,116,2401 Smith Boulevard,No,Yes,No
154,United Airlines (Washington Dulles International Airport),Dulles,07/08/2020,10/01/2020,3036,1 Saarinen Circle,No,Yes,No
155,"Delaware North Companies, Inc. ",Buffalo,06/30/2020,03/30/2020,80,*Due to COVID-19,No,Yes,No
156,Swissport (Ronald Reagan Washington National Airport),Arlington,06/22/2020,06/22/2020,10,*Due to COVID-19,No,Yes,No
157,Swissport (Dulles International Airport),Dulles,06/22/2020,06/22/2020,479,*Due to COVID-19,No,Yes,No
158,The Alexandrian Hotel,Alexandria,06/19/2020,06/11/2020,59,480 King Street,No,Yes,No
159,Hyatt Regency Tysons Corner Center,Tysons Corner,06/19/2020,03/22/2020,54,*Due to COVID-19,No,Yes,No
160,Advance Auto Parts,Roanoke,06/12/2020,08/14/2020,94,5008 Airport Road,No,Yes,No
161,Marriott-Crystal Gateway,Arlington,06/05/2020,03/16/2020,308,*Due to COVID-19,No,Yes,No
162,Marriott-Westfields Washington Dulles-,Chantilly,06/05/2020,03/18/2020,167,*Due to COVID-19,No,Yes,No
163,"Marriott Hotel Services, Inc. ",Dulles,06/05/2020,03/18/2020,105,*Due to COVID-19,No,Yes,No
164,Tysons Corner Marriott,Vienna,06/05/2020,03/21/2020,120,*Due to COVID-19,No,Yes,No
165,The Ritz Carlton Tysons Corner,McLean,06/05/2020,03/21/2020,344,*Due to COVID-19,No,Yes,No
166,Joy Global Underground Mining (Komatsu Mining Corp. Group),Bluefield,06/05/2020,06/05/2020,71,1081 Hockman Pike,No,Yes,No
167,Marriott -Crystal City at Reagan National Airport,Arlington,06/05/2020,03/16/2020,176,*Due to COVID-19,No,Yes,No
168,Marriott Falls Church Fairview Park,Falls Church,06/04/2020,03/17/2020,164,*Due to COVID-19,No,Yes,No
169,Residence Inn Arlington Pentagon City,Arlington,06/03/2020,03/17/2020,75,*Due to COVID-19,No,Yes,No
170,The Ritz Carlton Pentagon City,Arlington,06/03/2020,03/14/2020,240,*Due to COVID-19,No,Yes,No
171,Residence Inn Arlington Capital View , Arlington ,06/03/2020,03/14/2020,60,*Due to COVID-19,No,Yes,No
172,Courtyard (by Marriott) - Arlington Crystal City/Reagan National Airport,Arlington,06/02/2020,03/08/2020,68,*Due to COVID-19,No,Yes,No
173,Marriott Key Bridge,Arlington,06/02/2020,03/17/2020,202,*Due to COVID-19,No,Yes,No
174,Hyatt Regency-Crystal City,Arlington,06/02/2020,03/13/2020,151,*Due to COVID-19,No,Yes,No
175,NortonLifeLock Inc.,Mountain View,06/01/2020,07/01/2020,6,350 Ellis Street,No,Yes,No
176,Le Meridien Arlington,Arlington,05/29/2020,05/27/2020,44,*Due to COVID-19,No,Yes,No
177,The Westin - Reston Heights,Reston,05/27/2020,05/26/2020,32,*Due to COVID-19,No,Yes,No
178," The Virginian~Pilot Media Companies, LLC ",Virginia Beach,05/26/2020,07/26/2020,131,5429 Greenwich Road,Yes,No,No
179,Hyatt Regency Reston,Reston,05/26/2020,03/17/2020,88,*Due to COVID-19,No,Yes,No
180, Sheraton Pentagon City ,Arlington,05/26/2020,05/26/2020,100,*Due to COVID-19,No,Yes,No
181,"Embassy Suites Tysons Corner (Merritt Hospitality, LLC) ",Vienna,05/25/2020,05/25/2020,42,*Due to COVID-19,No,Yes,No
182,Hilton Alexandria Mark Center,Alexandria,05/22/2020,05/04/2020,177,*Due to COVID-19,No,Yes,No
183, Gate Gourmet Inc. ,Dulles,05/18/2020,02/29/2020,330,44845 Package Court,No,Yes,No
184,B. F. Saul Company Hospitality Group (Holiday Inn Dulles),Bethesda,05/18/2020,03/24/2020,52,*Due to COVID-19,No,Yes,No
185,B. F. Saul Company Hospitality Group (Holiday Inn National Airport),Bethesda,05/18/2020,03/24/2020,52,*Due to COVID-19,No,Yes,No
186,B. F. Saul Company Hospitality Group (Doubletree Tysons) ,Bethesda,05/18/2020,03/24/2020,57,*Due to Covid-19,No,Yes,No
187,B. F. Saul Company Hospitality Group (Crowne Plaza National Airport),Bethesda,05/18/2020,03/24/2020,50,*Due to COVID-19,No,Yes,No
188,Amentum,Chantilly,05/18/2020,06/16/2020,40,"4800 Westfields Blvd., Suite 400",No,Yes,No
189, Salamander Resort & Spa,Middleburg,05/15/2020,03/23/2020,225,500 N. Pendleton Street,No,Yes,No
190,Cerner Corporation,Kansas City,05/15/2020,07/15/2020,1,2800 Rock Creek Pkwy,No,Yes,No
191,Hilton Arlington & Towers Hotel,Arlington,05/13/2020,05/31/2020,98,*Due to COVID-19,No,Yes,No
192,Nordstrom,Seattle,05/12/2020,05/14/2020,189,"1700 7th Ave., Suite 1000",Yes,No,No
193,Atrium Hospitality Embassy Suites Hampton,Hampton,05/12/2020,03/12/2020,130,*Due to COVID-19,No,Yes,No
194,Cox Automotive,Atlanta ,05/08/2020,05/17/2020,149,*Due to COVID-19,No,Yes,No
195,Cox Automotive,Atlanta,05/08/2020,05/17/2020,55,*Due to COVID-19,No,Yes,No
196,Medical Faculty Associates,Washington,05/05/2020,07/05/2020,117,2150 Pennsylvania Ave NW,Yes,No,No
197,Shutterfly Inc.,Redwood City,05/04/2020,05/15/2020,308,2800 Bridge Parkway,Yes,No,No
198,Cenveo Corporation,Stamford,05/04/2020,05/04/2020,184,"200 First Stamford Place, Second Floor",Yes,No,No
199,Barcelona Wine Bar,Reston,05/02/2020,03/18/2020,66,*Due to COVID-19,No,Yes,No
200,Marriott Fairfax at Fair Oak,Fairfax,05/01/2020,03/21/2020,81,*Due to COVID-19,No,Yes,No
201,"Unilin North America, LLC (Mohawk Flooring)",Danville,04/30/2020,06/30/2020,135,100 Maxine Road,Yes,No,No
202,Holiday Inn Alexandria Old Town ,Alexandria ,04/30/2020,03/23/2020,5,*Due to COVID-19,No,Yes,No
203,Regal Cinemas,Knoxville,04/29/2020,03/17/2020,67,*Due to COVID-19,No,Yes,No
204,Bloomin' Brands (Bonefish Grill) ,Tampa,04/27/2020,03/15/2020,291,*Due to COVID-19,No,Yes,No
205,Bloomin' Brands (Carrabba's Italian Grill) ,Tampa,04/27/2020,03/15/2020,224,*Due to COVID-19,No,Yes,No
206,Bloomin' Brands (Fleming's),Tampa,04/27/2020,03/15/2020,45,*Due to COVID-19,No,Yes,No
