,company_name,location,notice_date
99,"Enzo Clinical Labs, Inc.",Long Island,5/24/2023
100,Gannett (Rochester Democrat & Chronicle),Finger Lakes,5/24/2023
101,"BDC Restaurants, LLC d/b/a McDonald's",New York City,5/19/2023
102,McConner Street Holding LLC d/b/a McDonald's,New York City,5/19/2023
103,"Greenwich Foods, LLC d/b/a McDonald’s",New York City,5/19/2023
104,"ABM Industries, Inc.",Finger Lakes,5/19/2023
105,"MicDavis, LLC d/b/a McDonald's",New York City,5/19/2023
106,"Jain Irrigation, INC",North Country,5/19/2023
107,"Times Square Foods, LLC d/b/a McDonald's Restaurant",New York City,5/18/2023
108,"Home Clean Home, HCH Management",New York City,5/18/2023
109,"Athenex, Inc. d/b/a Athenex Pharma Solutions, LLC, Athenex Pharmaceutical Division, LLC,
			Athenex R&D LLC",Western,5/16/2023
110,"Mid-State Raceway, Inc. d/b/a Vernon Downs Casino & Hotel",Mohawk Valley,5/11/2023
111,"BuzzFeed Media Enterprises, Inc.",New York City,5/9/2023
112,Bon Appetit – at Hamilton College,Mohawk Valley,5/8/2023
113,Sodexo – Le Moyne College,Central,5/8/2023
114,Fischbach USA Inc.,Capital,5/4/2023
115,Cazenovia College,Mohawk Valley,5/4/2023
116,Medaille University,Finger Lakes / Western,5/3/2023
117,N-Quad Logistics LLC,New York City,5/2/2023
118,"Henegan Construction Co., Inc.",New York City,4/28/2023
119,"Alteryx, Inc.",New York City,4/28/2023
120,Lev Inc.,New York City,4/28/2023
121,GOGO Magnolia Venture LLC,Long Island,4/28/2023
122,Voyant Beauty LLC,Central,4/27/2023
123,Bed Bath and Beyond,New York City,4/26/2023
124,"Enzo Clinical Labs, Inc.",Long Island,4/24/2023
125,"Meta Platforms, Inc. (formerly Facebook, Inc.)",New York City,4/24/2023
126,"Sumitovant Biopharma, Inc.",New York City,4/21/2023
127,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Mid-Hudson,4/20/2023
128,"David’s Bridal, LLC",Multiple,4/19/2023
129,Distinctive Maintenance Co Inc.,New York City,4/18/2023
130,"Housing Works Inc. (at Holiday Inn, Howard Johnson, Fresh Meadows, La Quinta)",New York City,4/11/2023
131,"Bentzys Construction, lnc. d/b/a Bentzy's Roofing and Waterproofing",New York City,4/10/2023
132,"Roses Confections, LP",Mohawk Valley,4/7/2023
133,"BG Salon, LLC - Salon Yoshiko",New York City,4/7/2023
134,National Express d/b/a Quality Bus Service LLC,Mid-Hudson,4/5/2023
135,AAF International,Capital,4/5/2023
136,"The Child Center of NY, Inc.",New York City,4/5/2023
137,"Create Restaurants NY, Inc.",New York City,4/5/2023
138,"Goldman, Sachs & Co., LLC",New York City,4/4/2023
139,"Strides Pharma, Inc.",Mid-Hudson,4/4/2023
140,Catholic Charities Neighborhood Services Inc.,New York City,4/4/2023
141,Catholic Charities Neighborhood Services Inc.,New York City,4/4/2023
142,Northern Dutchess Residential Health Care Facility a/k/a Thompson House,Mid-Hudson,4/4/2023
143,"nfrastructure Technologies, LLC",Capital,4/4/2023
144,The New Jewish Home,New York City,4/3/2023
145,"Envision Physicians Services, LLC",Capital,3/30/2023
146,"Teacher Synergy, LLC (Teachers Pay Teachers)",New York City,3/30/2023
147,Cayuga Home for Children d/b/a Cayuga Centers,New York City,3/30/2023
148,Research Foundation of The City University of New York,New York City,3/29/2023
149,Rising Ground lnc.,Mid-Hudson,3/28/2023
