,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
256,Holler Hospitality,Portland,2020-03-23 00:00:00,2020-03-18 00:00:00,109.0,Temporary Layoff
257,Salon DeLange,Eugene,2020-03-19 00:00:00,2020-03-19 00:00:00,14.0,Large Layoff - 10 or more workers
258,Jasper's Food Management Inc,Eugene,2020-03-17 00:00:00,2020-11-18 00:00:00,146.0,Temporary Layoff
259,Jasper's Food Management Inc,Eugene,2020-03-17 00:00:00,2020-03-17 00:00:00,172.0,Temporary Layoff
260,Brasada Ranch,Powell Butte,2020-03-22 00:00:00,2020-03-23 00:00:00,96.0,Temporary Layoff
261,Powell's City of Books,Portland,2020-03-19 00:00:00,2020-03-19 00:00:00,389.0,Large Layoff - 10 or more workers
262,Punch Bowl Portland LLC,Portland,2020-03-18 00:00:00,2020-03-17 00:00:00,83.0,Temporary Layoff
263,Elmer's Restaurants Inc,Portland,2020-03-16 00:00:00,2020-03-17 00:00:00,296.0,Temporary Layoff
264,Delivery Force - DPD 1 - Portland,Portland,2020-02-13 00:00:00,2020-04-16 00:00:00,48.0,Permanent closure
265,Delivery Force - HPD1 - Portland,Portland,2020-02-13 00:00:00,2020-04-16 00:00:00,30.0,Permanent closure
266,"TBS, Inc - Portland",Portland,2020-02-14 00:00:00,2020-07-31 00:00:00,30.0,Reduction
267,"TBS, Inc - Portland",Portland,2020-02-14 00:00:00,2020-04-16 00:00:00,22.0,Permanent closure
268,Concordia University,Portland,2020-02-12 00:00:00,2020-04-25 00:00:00,1012.0,Permanent closure
269,arauco,Eugene,2020-02-11 00:00:00,2020-05-01 00:00:00,84.0,Permanent closure
270,moovel North America,Portland,2020-01-16 00:00:00,2020-04-01 00:00:00,22.0,Large Layoff - 10 or more workers
271,moovel North America,Portland,2020-01-16 00:00:00,2020-02-03 00:00:00,47.0,Large Layoff - 10 or more workers
272,Philips - Neurology Solutions,Eugene,2020-01-27 00:00:00,2020-03-27 00:00:00,60.0,Permanent closure
273,Mr Cooper - Beaverton,Beaverton,2020-01-16 00:00:00,2020-03-18 00:00:00,301.0,Permanent closure
274,Adventist Health Tillamook,Tillamook,2020-01-08 00:00:00,2020-03-07 00:00:00,14.0,Permanent closure
275,"Unified Natural Foods, Inc. (UNFI)",Milwaukie,2020-01-09 00:00:00,2020-03-14 00:00:00,280.0,Permanent closure
276,NORPAC Foods Inc. - Corporate,Salem,2019-11-27 00:00:00,2019-01-19 00:00:00,38.0,Permanent closure
277,NortonLifeLock Inc - Springfield,Springfield,2019-11-19 00:00:00,2020-07-01 00:00:00,7.0,Reduction
