,company_name,location,notice_date,employees_affected
424,Liberty Social Hall,Papillion,5/31/2016,
425,Goodwill's Reserve 99,Omaha,5/31/2016,
426,Burger Star/Big Cheese,Gretna,5/31/2016,
427,Adam Michael Jewelry,Omaha,5/31/2016,0
428,Education Service Unit No-9,Hastings,5/31/2016,
429,The Children's Place,Papillion,5/28/2016,
430,"Gavilon, LLC",Omaha,5/26/2016,
431,Four Star Drug,Lincoln (Piedmont),5/26/2016,
432,Four Star Drug,Lincoln (Bethany),5/26/2016,
433,Ron's Garage,Omaha,5/26/2016,2
434,Four Star Drug,Waverly,5/24/2016,
435,Alliance Public Schools,Alliance,5/23/2016,10
436,Ideal Grocery & Market,Lincoln,5/19/2016,
437,Aeropostale - Lincoln,Lincoln,5/7/2016,
438,Aeropostale - Omaha,Omaha,5/7/2016,
439,Ben Franklin,Lincoln,5/1/2016,11
440,Heartland Cash Advance,Scottsbluff,4/30/2016,2
441,Heartland Cash Advance,Alliance,4/30/2016,1
442,Athlete's Edge,Scottsbluff,4/30/2016,
443,Pretzelmaker,Lincoln,4/26/2016,
444,Tom + Chee,Lincoln,4/23/2016,
445,Wildcat Bowling Lanes,Papillion,4/21/2016,5
446,Ferellgas,Norfolk,4/20/2016,
447,Amsterdam Falafel & Kabob,Lincoln,4/17/2016,7
448,The French Bulldog,Omaha,4/15/2016,
449,Wright Career College,Omaha,4/14/2016,
450,Barnstormers Family Bar & Grill,Norfolk,4/13/2016,
451,Tia Zia,O'Neill,4/4/2016,
452,Duff's Friendship Villa,Nebraska City,4/1/2016,33
453,Curley's Machine Works,Kimball,4/1/2016,4
454,Fashion II Consignment Boutique,Lincoln,3/31/2016,4
455,K Mart,Omaha,3/31/2016,
456,CommScope,Sidney,3/31/2016,150
457,Bag'n Save/No Frills,Omaha (Blondo),3/31/2016,
458,Bag'n Save/No Frills,Omaha (Weir St),3/31/2016,
459,"International Sensor Systems, Inc.",Aurora,3/17/2016,4
460,DXP Enterprises,Lincoln,3/15/2016,10
461,Doozy's,Lincoln,3/15/2016,
462,Sweets and Antiques,Atkinson,3/12/2016,
463,Slice Pizzeria,Lincoln,3/7/2016,
464,Regional Recycling,North Platte,3/5/2016,0
465,Preferred Pump,Grand Island,3/4/2016,4
466,Grandmother's Restaurant,Lincoln,2/28/2016,
467,Hancock Fabrics,Lincoln,2/28/2016,
468,Barb's Hallmark,Lincoln,2/28/2016,
469,Henry's on South,Lincoln,2/27/2016,
470,Progress Rail,Gering,2/25/2016,5
471,Abengoa,Ravenna,2/1/2016,
472,Abengoa,York,2/1/2016,
473,Sugar Bakers Gift Shop,Omaha,1/31/2016,
474,Sonic,Omaha,1/31/2016,
475,Ann Taylor Loft,Lincoln,1/31/2016,
476,The Limited,Lincoln,1/31/2016,
477,Piccolo Pete's,Omaha,1/31/2016,50
478,Convergys Corporation,Omaha,1/31/2016,191
479,Schweser's,Fremont,1/31/2016,33
480,"Cargill, Inc.","Blair, NE",1/11/2016,7
481,Burkley Envelope Company,Wahoo,1/4/2016,
482,Burger King,Lincoln,1/3/2016,
483,Schweser's,Beatrice,1/1/2016,8
484,Schweser's,Columbus,1/1/2016,12
